Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Peter Spuhler;02.ôåâ;Switzerland;train cars;1444;61.0;Weiningen, Switzerland;Switzerland;Married;2.0;;True;
Tang Yiu;02.ôåâ;Hong Kong;fashion retail;1444;87.0;Hong Kong, Hong Kong;Hong Kong;Married;2.0;;True;
Tran Dinh Long;02.ôåâ;Vietnam;steel;1444;60.0;Hanoi, Vietnam;Vietnam;Married;;;True;
Anna Katharina Viessmann;02.ôåâ;Germany;heating and cooling equipment;1444;;;Germany;;;;False;
David Walentas;02.ôåâ;United States;real estate;1444;82.0;New York, New York;United States;Widowed;1.0;Bachelor of Arts/Science, University of Virginia;True;
Wu Lanlan & family;02.ôåâ;China;packaging;1444;47.0;Shenzhen, China;China;Married;2.0;Master of Business Administration, Tongji University;True;
Wu Yiling;02.ôåâ;China;pharmaceuticals;1444;71.0;Shijiazhuang, China;China;Married;2.0;Medical Doctor, Hebei Medical University;;
Xiang Wenbo;02.ôåâ;China;manufacturing;1444;58.0;Changsha, China;China;Married;1.0;Master of Science, Dalian University of Technology;True;
Xie Liangzhi & family;02.ôåâ;China;biotech;1444;55.0;Beijing, China;China;Married;;Ph.D, Massachusetts Institute of Technology;True;
Xu Yuejuan;02.ôåâ;China;Petro Fibre;1444;59.0;Hangzhou, China;China;Married;;;True;
Shintaro Yamada;02.ôåâ;Japan;mobile apps;1444;43.0;Tokyo, Japan;Japan;;;;True;
Yang Jian;02.ôåâ;China;real estate;1444;49.0;Wenzhou, China;China;Married;;;True;
Gavril Yushvaev;02.ôåâ;Russia;precious metals, real estate;1444;63.0;Moscow, Russia;Russia;Married;7.0;;True;
Zhang Jingzhang & family;02.ôåâ;China;precision machinery;1444;85.0;Ningbo, China;China;;;;True;
Michael Ashcroft;02.ÿíâ;United Kingdom;security;1517;75.0;Turks and Caicos Islands, Turks and Caicos Islands;United Kingdom;;;;True;
George Bishop;02.ÿíâ;United States;oil & gas;1517;83.0;The Woodlands, Texas;United States;Married;;;True;
Julio Bozano;02.ÿíâ;Brazil;banking;1517;85.0;Rio de Janeiro, Brazil;Brazil;Married;1.0;;True;
Herb Chambers;02.ÿíâ;United States;car dealerships;1517;79.0;Boston, Massachusetts;United States;Single;;;True;
Andrew & Peggy Cherng;02.ÿíâ;United States;restaurants;1517;;Las Vegas, Nevada;United States;Married;;Master of Arts, University of Missouri;;
Jacques D'Amours;02.ÿíâ;Canada;retail;1517;64.0;Montreal, Canada;Canada;Married;2.0;;True;
Ray Davis;02.ÿíâ;United States;pipelines;1517;79.0;Dallas, Texas;United States;Married;3.0;Master of Business Administration, LeTourneau University's School of Business;True;
Diao Zhizhong;02.ÿíâ;China;software;1517;57.0;Beijing, China;China;;;;True;
Michael Federmann & family;02.ÿíâ;Israel;defense, hotels;1517;77.0;Tel Aviv, Israel;Israel;Married;3.0;;True;
William Fisher;02.ÿíâ;United States;Gap;1517;64.0;San Francisco, California;United States;Married;3.0;Bachelor of Arts/Science, Princeton University;;
Bernard Fraisse;02.ÿíâ;France;pharmaceuticals;1517;64.0;Paris, France;France;;;;True;
Fabricio Garcia;02.ÿíâ;Brazil;retail;1517;43.0;Franca, Brazil;Brazil;Married;;Bachelor of Business Administration, Universidade de Sao Paulo;False;
Flavia Bittar Garcia Faleiros;02.ÿíâ;Brazil;retail;1517;40.0;Sao Paulo, Brazil;Brazil;Married;3.0;;False;
Gordon Getty;02.ÿíâ;United States;Getty Oil;1517;87.0;San Francisco, California;United States;Widowed;7.0;Bachelor of Arts/Science, San Francisco Conservatory of Music;False;
Philippe Ginestet & family;02.ÿíâ;France;retail stores;1517;67.0;Pujols, France;France;;;;True;
Gong Yingying;02.ÿíâ;China;health IT;1517;36.0;Beijing, China;China;Married;;Bachelor of Arts/Economics, London School of Economics & Political Science;True;
Lutz Mario Helmig;02.ÿíâ;Germany;hospitals;1517;74.0;Grebenhain, Germany;Germany;Married;2.0;;True;
Ilkka Herlin;02.ÿíâ;Finland;elevators, escalators;1517;62.0;Helsinki, Finland;Finland;Married;4.0;;False;
Arthur Xiaobo Hong;02.ÿíâ;China;e-commerce;1517;49.0;Guangzhou, China;China;;;;True;
Hong Feng;02.ÿíâ;China;smartphones;1517;44.0;Beijing, China;China;;;Master of Science, Purdue University;;
Huang Shih Tsai;02.ÿíâ;Hong Kong;real estate;1517;69.0;Shenzhen, China;Hong Kong;Married;2.0;;True;
Jiang Yehua & family;02.ÿíâ;China;real estate;1517;58.0;Chongqing, China;China;;;;True;
Keeree Kanjanapas;02.ÿíâ;Thailand;transportation;1517;70.0;Bangkok, Thailand;Thailand;Married;2.0;;True;
Alexander Karp;02.ÿíâ;United States;software firm;1517;53.0;Palo Alto, California;United States;Single;;Bachelor of Arts/Science, Haverford College;;
Bruce Karsh;02.ÿíâ;United States;private equity;1517;65.0;Los Angeles, California;United States;Married;3.0;Bachelor of Arts/Science, Duke University;;
Mustafa Kucuk;02.ÿíâ;Turkey;fashion retail;1517;57.0;Istanbul, Turkey;Turkey;Married;3.0;;True;
Dominika Kulczyk;02.ÿíâ;Poland;diversified;1517;43.0;Warsaw, Poland;Poland;Divorced;2.0;Master, University of Poznan;False;
Philippe Laffont;02.ÿíâ;United States;hedge fund;1517;53.0;New York, New York;United States;Married;;Master of Science, Massachusetts Institute of Technology;True;
Henry Laufer;02.ÿíâ;United States;hedge funds;1517;75.0;Lake Worth, Florida;United States;Married;;Bachelor of Arts/Science, City College of New York;;
Frank Laukien;02.ÿíâ;United States;scientific equipment;1517;61.0;Boston, Massachusetts;United States;Married;;Doctorate, Harvard University;;
Mark Leonard & family;02.ÿíâ;Canada;software;1517;65.0;Toronto, Canada;Canada;;;Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business;;
Li Wanqiang;02.ÿíâ;China;smartphones;1517;43.0;Beijing, China;China;;;;True;
Li Weiwei;02.ÿíâ;China;online games;1517;44.0;Shanghai, China;China;;;;True;
Lin Chen-hai;02.ÿíâ;Taiwan;real estate;1517;74.0;Taipei, Taiwan;Taiwan;Married;2.0;;True;
Lin Yinsun;02.ÿíâ;China;agribusiness;1517;57.0;Shanghai, China;China;;;EMBA, China Europe International Business School;True;
Liu Zhongtian & family;02.ÿíâ;China;aluminum products;1517;57.0;Liaoyang, China;China;Married;;Diploma, Liaoning Radio and TV University;True;
Daniel Lubetzky;02.ÿíâ;United States;snack bars;1517;52.0;New York, New York;United States;Married;4.0;Bachelor of Arts/Science, Trinity University of San Antonio;True;
Prayudh Mahagitsiri;02.ÿíâ;Thailand;coffee, shipping;1517;75.0;Bangkok, Thailand;Thailand;Married;3.0;;False;
Igor Makarov;02.ÿíâ;Russia;investments;1517;59.0;Miami, Florida;Russia;Married;2.0;Bachelor of Arts/Science, Turkmen State University;True;
Kishore Mariwala;02.ÿíâ;India;consumer goods;1517;86.0;Mumbai, India;India;Married;2.0;Bachelor of Science in Engineering, Bombay University;;
Howard Marks;02.ÿíâ;United States;private equity;1517;75.0;New York, New York;United States;Married;2.0;Bachelor of Arts/Science, University of Pennsylvania, The Wharton School;True;
Katarina Martinson;02.ÿíâ;Sweden;investments;1517;40.0;Stockholm, Sweden;Sweden;Married;;;False;
Vincent McMahon;02.ÿíâ;United States;entertainment;1517;75.0;Greenwich, Connecticut;United States;Married;2.0;Bachelor of Arts/Science, East Carolina University;True;
David Murdock;02.ÿíâ;United States;Dole, real estate;1517;98.0;Ventura, California;United States;Widowed;3.0;Drop Out, High School;True;
Vikas Oberoi;02.ÿíâ;India;real estate;1517;50.0;Mumbai, India;India;Married;2.0;Bachelor of Arts/Science, Bombay University;False;
Erik Paulsson & family;02.ÿíâ;Sweden;construction, real estate;1517;79.0;BÃ¥stad, Sweden;Sweden;Married;;;True;
Roger Penske;02.ÿíâ;United States;cars;1517;84.0;Birmingham, Michigan;United States;Married;5.0;Drop Out, Lehigh University;True;
Florentino Perez;02.ÿíâ;Spain;construction;1517;74.0;Madrid, Spain;Spain;Widowed;3.0;;True;
Phil Ruffin;02.ÿíâ;United States;casinos, real estate;1517;86.0;Las Vegas, Nevada;United States;Married;5.0;Drop Out, Wichita State University;True;
Richard Sands;02.ÿíâ;United States;liquor;1517;70.0;Delray Beach, Florida;United States;;;Doctorate, University of North Carolina;;
Robert Sands;02.ÿíâ;United States;liquor;1517;62.0;Delray Beach, Florida;United States;Married;;Law Degree, Pace University;;
Dieter Schnabel;02.ÿíâ;Germany;chemicals;1517;75.0;Hamburg, Germany;Germany;Married;3.0;;False;
Christiane Schoeller;02.ÿíâ;Germany;publishing;1517;;;Germany;;;;False;
Jeffrey Talpins;02.ÿíâ;United States;hedge fund;1517;46.0;Larchmont, New York;United States;Married;;Bachelor of Arts/Science, Yale University;True;
Timur Turlov;02.ÿíâ;Russia;stock brokerage;1517;33.0;Almaty, Kazakhstan;Russia;Married;6.0;Bachelor of Science, Moscow State Technical University;True;
Sandro Veronesi & family;02.ÿíâ;Italy;fashion;1517;61.0;Milan, Italy;Italy;Married;;Bachelor of Arts/Science, University of Verona;True;
Wang Chou-hsiong;02.ÿíâ;Taiwan;footwear;1517;80.0;Yunlin, Taiwan;Taiwan;Married;2.0;Master of Arts/Science, National Central University;;
Wang Minwen;02.ÿíâ;China;semiconductor;1517;57.0;Beijing, China;China;;;;True;
Weng Xianding;02.ÿíâ;China;medical devices;1517;59.0;Shenzhen, China;China;;;;True;
Michael Xie;02.ÿíâ;United States;cybersecurity;1517;52.0;Los Altos Hills, California;United States;Married;;Master of Science, Tsinghua University;;
Yuan Fugen & family;02.ÿíâ;China;metal processing;1517;70.0;Suzhou, China;China;;;;True;
Zhao Fenggang;02.ÿíâ;China;batteries;1517;55.0;Ningde, China;China;;;;True;
Zhou Zongwen & family;02.ÿíâ;China;jewelry;1517;64.0;Shenzhen, China;China;Married;;;True;
S. Daniel Abraham;2.0;United States;Slim-Fast;1580;96.0;Palm Beach, Florida;United States;Married;6.0;Diploma, High School;True;
Isak Andic & family;2.0;Spain;fashion retail;1580;67.0;Barcelona, Spain;Spain;Divorced;3.0;;True;
Roberto Angelini Rossi;2.0;Chile;forestry, mining;1580;72.0;Santiago, Chile;Chile;Married;4.0;Bachelor of Arts/Science, Pontificia Universidad de Chile;False;
Masaaki Arai;2.0;Japan;home sales;1580;55.0;Tokyo, Japan;Japan;;;;True;
George Argyros & family;2.0;United States;real estate, investments;1580;84.0;Newport Beach, California;United States;Married;3.0;Bachelor of Arts/Science, Chapman University;True;
Pavel Baudis;2.0;Czechia;software;1580;60.0;Prague, Czechia;Czechia;Married;2.0;;True;
Anne Beaufour;2.0;France;pharmaceuticals;1580;57.0;United Kingdom;France;Married;;;False;
Henri Beaufour;2.0;France;pharmaceuticals;1580;55.0;London, United Kingdom;France;Married;;;False;
Brett Blundy;2.0;Australia;retail, agribusiness;1580;61.0;Paradise Island, Bahamas;Australia;Married;2.0;;True;
J. Hyatt Brown;2.0;United States;insurance;1580;83.0;Ormond Beach, Florida;United States;Married;;Bachelor of Arts/Science, University of Florida;False;
Dai Wenjun;2.0;China;food;1580;52.0;Changsha, China;China;;;;True;
Sol Daurella;2.0;Spain;Coca-Cola bottler;1580;55.0;Madrid, Spain;Spain;Married;;;False;
John de Mol;2.0;Netherlands;TV programs;1580;66.0;Blaricum, Netherlands;Netherlands;Single;1.0;;True;
Dou Zhenggang;2.0;China;energy, chemicals;1580;67.0;Hangzhou, China;China;;;;True;
Glenn Dubin;2.0;United States;hedge funds;1580;64.0;New York, New York;United States;Married;3.0;Bachelor of Arts/Science, SUNY Stony Brook;True;
John Elkann;2.0;Italy;FIAT, investments;1580;45.0;Turin, Italy;Italy;;;Bachelor of Engineering, Politecnico di Torino;False;
Ibrahim Erdemoglu;2.0;Turkey;carpet;1580;58.0;Istanbul, Turkey;Turkey;Married;3.0;;True;
Andy Fang;2.0;United States;food delivery app;1580;28.0;MONTE VISTA, California;United States;;;Bachelor of Arts/Science, Stanford University;True;
Fang Hongbo;2.0;China;home appliances;1580;54.0;Shunde, China;China;;;;True;
Kenneth Feld & family;2.0;United States;live entertainment;1580;72.0;Sarasota, Florida;United States;Separated;3.0;Bachelor of Arts/Science, Boston University;False;
Walter Frey;2.0;Switzerland;car dealerships;1580;77.0;KÃ¼snacht, Switzerland;Switzerland;;;Bachelor of Business Administration, London School of Economics;;
Yasuhiro Fukushima;2.0;Japan;video games;1580;73.0;Tokyo, Japan;Japan;Married;;Bachelor of Arts/Science, Nihon University;True;
Dennis Gillings;2.0;United Kingdom;drug testing;1580;77.0;Durham, North Carolina;United Kingdom;;;;True;
Sam Goi;2.0;Singapore;frozen foods;1580;74.0;Singapore, Singapore;Singapore;Married;3.0;;True;
Bahaa Hariri;2.0;Lebanon;real estate, investments;1580;55.0;Geneva, Switzerland;Lebanon;Married;;Bachelor of Arts/Science, Boston University;False;
Ilona Herlin;2.0;Finland;elevators, escalators;1580;56.0;Helsinki, Finland;Finland;Married;;;False;
Jeffery Hildebrand;2.0;United States;oil;1580;62.0;Houston, Texas;United States;Married;3.0;Bachelor of Arts/Science, The University of Texas at Austin;;
J. Tomilson Hill;2.0;United States;investments;1580;72.0;New York, New York;United States;Married;2.0;Master of Business Administration, Harvard Business School;;
Orion Hindawi;2.0;United States;software;1580;41.0;Seattle, Washington;United States;Married;2.0;Drop Out, University of California, Berkeley;True;
Reid Hoffman;2.0;United States;LinkedIn;1580;53.0;Palo Alto, California;United States;Married;;Master of Science, Oxford University;;
Hou Juncheng;2.0;China;cosmetics;1580;56.0;Hangzhou, China;China;;;;True;
W. Herbert Hunt;2.0;United States;oil;1580;92.0;Dallas, Texas;United States;Married;5.0;;False;
George Joseph;2.0;United States;insurance;1580;99.0;Los Angeles, California;United States;Married;5.0;Bachelor of Arts/Science, Harvard University;True;
Ke Yunfeng & family;2.0;China;retailing;1580;54.0;Guangzhou, China;China;;;;True;
Sergei Kolesnikov;2.0;Russia;building materials;1580;49.0;Moscow, Russia;Russia;Married;4.0;Master of Science, Moscow Institute of Physics and Technology;True;
Thomas Lee;2.0;United States;private equity;1580;77.0;New York, New York;United States;Married;5.0;Bachelor of Arts/Science, Harvard University;True;
Peter Leibinger;2.0;Germany;machine tools;1580;54.0;Schwieberdingen, Germany;Germany;Married;4.0;;False;
Regine Leibinger;2.0;Germany;machine tools;1580;58.0;Berlin, Germany;Germany;Married;2.0;;False;
Nicola Leibinger-Kammueller;2.0;Germany;manufacturing;1580;61.0;Berlin, Germany;Germany;Married;4.0;;False;
Solomon Lew;2.0;Australia;retail;1580;76.0;Melbourne, Australia;Australia;Married;3.0;;True;
Li Yong;2.0;China;education;1580;44.0;Shanghai, China;China;;;;True;
Liu Yachao;2.0;China;education;1580;40.0;Beijing, China;China;;;;True;
Jeffrey Lorberbaum;2.0;United States;flooring;1580;66.0;Chattanooga, Tennessee;United States;Married;;Bachelor of Arts/Science, University of Denver;False;
Jed McCaleb;2.0;United States;cryptocurrency;1580;46.0;Berkeley, California;United States;;;;True;
Craig McCaw;2.0;United States;telecom;1580;71.0;Hunts Point, Washington;United States;Married;3.0;Bachelor of Arts/Science, Stanford University;False;
Miao Yongjun;2.0;China;clinical diagnostics;1580;53.0;Zhengzhou, China;China;;;;True;
Robert Miller;2.0;Canada;electronics components;1580;75.0;Montreal, Canada;Canada;Divorced;2.0;Bachelor of Arts/Science, Rider University;True;
Charles Munger;2.0;United States;Berkshire Hathaway;1580;97.0;Los Angeles, California;United States;Widowed;8.0;Doctor of Jurisprudence, Harvard University;;
David Nahmad;2.0;Monaco;art collection;1580;74.0;New York, New York;Monaco;Married;3.0;;True;
Jonathan Nelson;2.0;United States;private equity;1580;64.0;Providence, Rhode Island;United States;Widowed, Remarried;3.0;Bachelor of Arts/Science, Brown University;;
Pierre Karl PÃ©ladeau;2.0;Canada;media;1580;59.0;Montreal, Canada;Canada;In Relationship;3.0;;False;
Kevin Plank;2.0;United States;Under Armour;1580;48.0;Lutherville-Timonium, Maryland;United States;Married;2.0;Master of Business Administration, Robert H. Smith School of Business;;
Alberto Prada;2.0;Italy;luxury goods;1580;67.0;Milan, Italy;Italy;;;;False;
Marina Prada;2.0;Italy;luxury goods;1580;75.0;Milan, Italy;Italy;;;;False;
Mahendra Prasad;2.0;India;pharmaceuticals;1580;81.0;Delhi, India;India;Married;;;True;
Jennifer Pritzker;2.0;United States;hotels, investments;1580;70.0;Chicago, Illinois;United States;Divorced;3.0;Bachelor of Arts/Science, Loyola University Illinois;False;
Linda Pritzker;2.0;United States;hotels, investments;1580;67.0;Missoula, Montana;United States;Divorced;3.0;;False;
Joe Rogers; Jr.;2.0;United States;Waffle House;1580;;Atlanta, Georgia;United States;Married;;;POINT (-84.39026440000001 33.7489924)
Igor Rybakov;2.0;Russia;building materials;1580;48.0;Moscow, Russia;Russia;Married;4.0;Master of Science, Moscow Institute of Physics and Technology;True;
Sathien Setthasit;2.0;Thailand;energy drinks;1580;67.0;Bangkok, Thailand;Thailand;Married;3.0;;True;
Mikhail Shelkov;2.0;Russia;titanium;1580;52.0;Moscow, Russia;Russia;;;Master of Science, Moscow Institute of Physics and Technology;True;
Shen Xiqiang & family;2.0;China;chemical;1580;73.0;Yixing, China;China;Married;;;True;
Thaksin Shinawatra;2.0;Thailand;investments;1580;71.0;Dubai, United Arab Emirates;Thailand;Divorced;3.0;Master of Science, Eastern Kentucky University;True;
Martua Sitorus;2.0;Indonesia;palm oil;1580;61.0;Singapore, Singapore;Indonesia;Married;4.0;;True;
Sylvia Stroeher;2.0;Germany;cosmetics;1580;65.0;Darmstadt, Germany;Germany;Married;1.0;;False;
Alexander Svetakov;2.0;Russia;real estate;1580;53.0;Moscow, Russia;Russia;Divorced;4.0;Bachelor of Science in Engineering, Moscow Institute of Electronic Technology;True;
Stanley Tang;2.0;United States;food delivery app;1580;28.0;San Francisco, California;United States;;;Bachelor of Arts/Science, Stanford University;True;
Tang Xiuguo;2.0;China;manufacturing;1580;57.0;Changsha, China;China;Married;1.0;Bachelor of Arts/Science, Central South University;True;
